"Driver","AD_p_16_17","AD_p_16_18","AD_p_16_19","AD_p_17_18","AD_p_17_19","AD_p_18_19","mean_2016","sd_2016","mean_2017","sd_2017","mean_2018","sd_2018","mean_2019","sd_2019","adj_AD_p_16_17","adj_AD_p_16_18","adj_AD_p_16_19","adj_AD_p_17_18","adj_AD_p_17_19","adj_AD_p_18_19","EM_effect"
"BV_Desmids",0.00018339,0.00000001306,0.017634,0.0033745,0.22106,0.0010418,3806.67794748747,10833.9950151381,26206.5186329965,53630.2599803972,222248.404646419,216433.295468188,48316.3096826368,90413.945768665,0.00201729,0.00000015672,0.052902,0.020247,0.9865,0.0125016,"no"
"rel_abund_Desmids",0.00012033,0.0000000051809,0.03017,0.00047604,0.21247,0.00026447,0.00408029324788398,0.0125459575226388,0.0181977218714036,0.0247581166571935,0.147066834005968,0.123875864249259,0.0275958743353682,0.0573778693580921,0.00144396,0.0000000673517,0.052902,0.00380832,0.9865,0.00343811,"no"
"Cmax_DOC_mgL",0.0018427,0.0000012002,0.021193,0.000098561,0.13703,0.057489,2.225,1.29162280627287,2.88666666666667,1.19155760406685,4.26,0.882205029619371,3.15625,1.7836175785932,0.015899,0.000012002,0.052902,0.001182732,0.95921,0.46244,"no"
"Grab_DOC_mgL",0.0016912,0.0000013245,0.011107,0.00010263,0.14827,0.057489,2.21,1.29975706232074,2.94666666666667,1.2687826936909,4.26,0.882205029619371,3.26875,1.70712965725122,0.015899,0.000012002,0.044428,0.001182732,0.95921,0.46244,"no"
"SRPmax_depth_m",0.22971,0.0011721,0.000030183,0.065558,0.0039374,0.18182,2.95,1.85959052564723,1.79230769230769,1.75236104463927,0.907692307692308,0.778311782494156,1.5,0.387298334620742,0.91884,0.0023442,0.000392379,0.136236,0.0433114,0.72728,"maybe"
"DOCmax_mgL",0.0015899,0.000041662,0.00045732,0.0011357,0.1973,0.061869,2.71764705882353,1.38348983286725,3.73846153846154,1.15581029407833,5.46363636363636,1.77722971349948,4.2125,1.20325946218317,0.015899,0.000291634,0.00411588,0.0079499,0.9865,0.46244,"no"
"pz_DOC_mean",0.000088571,0.00000032792,0.00048448,0.0001534,0.098153,0.04204,2.11511904761905,0.657834914454061,3.162,1.10347866256224,4.55833333333333,1.1402928821767,3.54214285714286,1.40912699027325,0.001151423,0.00000360712,0.00411588,0.001534,0.883377,0.46244,"no"
"schmidt.stability",0.59698,0.00012571,0.00088578,0.00028571,0.0032944,0.31359,24.5959843570727,8.68281075122397,25.821137230568,8.28367466383011,37.6165268728035,6.29736509931081,35.960695370554,7.06674920309775,0.91884,0.00062855,0.00531468,0.00257139,0.0395328,0.94077,"yes"
"n2",0.17995,0.0000032756,0.004708,0.000023695,0.0010717,0.04852,0.00634041227492102,0.00175632494245805,0.00559921807364222,0.00195460945187368,0.00984838327814123,0.00203683668064506,0.00866374608372831,0.00197312674338402,0.89975,0.0000262048,0.02354,0.000308035,0.0139321,0.46244,"yes"
"thermo.depth",0.32389,0.00060911,0.00020186,0.013892,0.0079445,0.80925,4.11459278812233,1.12172861994136,3.68421654308514,1.00202584962866,2.86774632749115,0.444800538079299,2.76605376994685,0.431861142819592,0.91884,0.00182733,0.00242232,0.06372,0.079445,1,"maybe"
"pH",0.034742,0.0093741,0.00048387,0.19494,0.91826,0.051291,6.40470588235294,0.489350560016268,7.99,NA,7.03575,0.642698023958375,7.77845454545455,0.972579494297136,0.214046,0.0093741,0.00411588,0.19494,1,0.46244,"no"
"Peak_depth_m",0.26175,0.00019165,0.00038001,0.012744,0.1148,0.72422,4.6915,1.02584637713143,4.12933333333333,1.636980960997,2.93733333333333,1.07810989809989,3.20352941176471,1.5064940307568,0.91884,0.0007666,0.0038001,0.06372,0.9184,1,"maybe"
"pz_pH",0.030578,0.00005793,0.00031826,0.045412,0.90809,0.042725,6.72873997695853,0.339963818888417,8.35001269035533,NA,7.41359663276578,0.423302957377844,7.85452139874784,0.976237113792183,0.214046,0.00034758,0.00350086,0.136236,1,0.46244,"no"
